date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:26:37	91953/91953	---M--	200	added ('OK')	image/jpeg	etag:%221653146732%22	https://suhu69bet.com/images/upload-SlidesMobile-20220521222532.jpg	C:/My%20Web%20Sites/Suhu69/suhu69bet.com/images/upload-SlidesMobile-20220521222532.jpg	(from https://suhu69bet.com/index.php)
17:26:38	209610/209610	---M--	200	added ('OK')	image/png	date:Sat,%2021%20May%202022%2016:09:50%20GMT	https://i.ibb.co/bFcdQFR/revisi-rate.png	C:/My%20Web%20Sites/Suhu69/i.ibb.co/bFcdQFR/revisi-rate.png	(from https://suhu69bet.com/index.php)
17:26:38	234/234	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Oct%202022%2010:26:38%20GMT	https://suhu69bet.com/wap	C:/My%20Web%20Sites/Suhu69/suhu69bet.com/wap	(from https://suhu69bet.com/index.php)
17:26:39	88172/88172	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2010:26:38%20GMT	https://suhu69bet.com/?desktop	C:/My%20Web%20Sites/Suhu69/suhu69bet.com/indexb2c7.html	(from https://suhu69bet.com/index.php)
17:26:40	1941/1941	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2010:26:39%20GMT	https://suhu69bet.com/wap/	C:/My%20Web%20Sites/Suhu69/suhu69bet.com/wap/index.html	(from https://suhu69bet.com/index.php)
17:26:40	88249/88249	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2010:26:40%20GMT	https://suhu69bet.com/index.php?daftar	C:/My%20Web%20Sites/Suhu69/suhu69bet.com/index07aa.html	(from https://suhu69bet.com/index.php)
17:26:41	88270/88270	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2010:26:40%20GMT	https://suhu69bet.com/index.php?togel	C:/My%20Web%20Sites/Suhu69/suhu69bet.com/indexb0a8.html	(from https://suhu69bet.com/index.php)
17:26:42	88262/88262	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2010:26:41%20GMT	https://suhu69bet.com/index.php?slot	C:/My%20Web%20Sites/Suhu69/suhu69bet.com/index5e97.html	(from https://suhu69bet.com/index.php)
17:26:43	88263/88263	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2010:26:42%20GMT	https://suhu69bet.com/index.php?live	C:/My%20Web%20Sites/Suhu69/suhu69bet.com/indexd0db.html	(from https://suhu69bet.com/index.php)
17:26:44	88264/88264	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2010:26:43%20GMT	https://suhu69bet.com/index.php?tembakikan	C:/My%20Web%20Sites/Suhu69/suhu69bet.com/indexfa8f.html	(from https://suhu69bet.com/index.php)
